name,time,value
TrawlPS_SpoolDev_FC_FBMotorTorque,1674424784780.208,
TrawlPS_SpoolDev_FC_FBMotorPower,1674424784780.208,
TrawlPS_SpoolDev_FC_FBSpeedRef,1674424784780.208,
TrawlPS_SpoolDev_FC_DriveRunning,1674424784780.208,
TrawlPSCen_OnLampOut_Bridge,1674424784780.208,
TrawlPSCen_AutoModeIn_Bridge,1674424784780.208,
TrawlPSCen_Enable,1674424784780.208,
TrawlPSCen_BrakeFaultIn,1674424784780.208,
TrawlPSCen_TorqueCmdIn,1674424784780.208,
TrawlPSCen_CircPumpStop,1674424784780.208,
TrawlPSCen_BrakeForceApply,1674424784780.208,
TrawlPSCen_StatusFlags,1674424784780.208,
TrawlPSCen_EncValueSTOut,1674424784780.208,
TrawlPSCen_SpeedFBSTOut,1674424784780.208,
TrawlPSCen_TorqueFBSTOut,1674424784780.208,
TrawlPSCen_TurnCountFCIn,1674424784780.208,
TrawlPSCen_FC1_FBStatusWord,1674424784780.208,
TrawlPSCen_FC1_FBActualSpeed,1674424784780.208,
TrawlPSCen_FC1_FBMotorTorque,1674424784780.208,
TrawlPSCen_FC1_FBMotorPower,1674424784780.208,
TrawlPSCen_FC1_FBSpeedRef,1674424784780.208,
TrawlPSCen_FC1_FBTorqueLimitMotoring,1674424784780.208,
TrawlPSCen_FC1_FBTorqueLimitGeneratoring,1674424784780.208,
TrawlPSCen_FC1_DriveRunning,1674424784780.208,
TW1-M1PT100-U,1674424784780.208,
TW1-M1PT100-V,1674424784780.208,
TW1-M1PT100-W,1674424784780.208,
TrawlPSCen_FC2_FBStatusWord,1674424784780.208,
TrawlPSCen_FC2_FBActualSpeed,1674424784780.208,
TrawlPSCen_FC2_FBMotorTorque,1674424784780.208,
TrawlPSCen_FC2_FBMotorPower,1674424784780.208,
TrawlPSCen_FC2_FBSpeedRef,1674424784780.208,
TrawlPSCen_FC2_FBTorqueLimitMotoring,1674424784780.208,
Stb Cen pressure or torque,1669387169230.1433,0
TrawlApp_IO_iSym_Inputs_Prt_TowCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Prt_HeaveCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Stb_SpeedCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Stb_TorqueCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Stb_ShootCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Stb_TowCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Stb_HeaveCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cen_SpeedCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cen_TorqueCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cen_ShootCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cen_TowCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cen_HeaveCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cbb_SpeedCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cbb_TorqueCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cbb_ShootCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cbb_TowCmd,1669387169230.1433,
TrawlApp_IO_iSym_Inputs_Cbb_HeaveCmd,1669387169230.1433,
Stb wire out,1669387169230.1433,0
Stb rpm,1669387169230.1433,0
Stb wire speed,1669387169230.1433,0
Stb tension,1669387169230.1433,0
Stb pressure or torque,1669387169230.1433,0
Stb loadcell,1669387169230.1433,0
Prt wire out,1669387169230.1433,0
Prt rpm,1669387169230.1433,0
Prt wire speed,1669387169230.1433,0
Prt tension,1669387169230.1433,0
Prt pressure or torque,1669387169230.1433,0
Prt loadcell,1669387169230.1433,0
Stb Cen wire out,1669387169230.1433,0
Stb Cen rpm,1669387169230.1433,0
Stb Cen wire speed,1669387169230.1433,0
Stb Cen tension,1669387169230.1433,0
Stb Cen loadcell,1669387169230.1433,0
Prt Cen wire out,1669387169230.1433,0
Prt Cen rpm,1669387169230.1433,0
Prt Cen wire speed,1669387169230.1433,0
Prt Cen tension,1669387169230.1433,0
Prt Cen pressure or torque,1669387169230.1433,0
Prt Cen loadcell,1669387169230.1433,0
NetSounder wire out,1669387169230.1433,0
NetSounder rpm,1669387169230.1433,0
NetSounder wire speed,1669387169230.1433,0
NetSounder tension,1669387169230.1433,0
NetSounder pressure or torque,1669387169230.1433,0
NetSounder loadcell,1669387169230.1433,0
AUX1_Enable,1669387169230.1433,
AUX1_SpeedCmdIn,1669387169230.1433,
AUX1_TorqueCmdIn,1669387169230.1433,
AUX1_StatusFlags,1669387169230.1433,
AUX1_BrakeLiftIn,1669387169230.1433,
AUX1_FC1_FBStatusWord,1669387169230.1433,
AUX1_FC1_FBActualSpeed,1669387169230.1433,
AUX1_FC1_FBMotorTorque,1669387169230.1433,
AUX1_FC1_FBMotorPower,1669387169230.1433,
AUX1_FC1_FBSpeedRef,1669387169230.1433,
AUX1_FC1_FBTorqueLimitGeneratoring,1669387169230.1433,
AUX1_FC1_FBTorqueLimitMotoring,1669387169230.1433,
AUX1_FC1_DriveRunning,1669387169230.1433,
AUX2_Enable,1669387169230.1433,
AUX2_SpeedCmdIn,1669387169230.1433,
AUX2_TorqueCmdIn,1669387169230.1433,
AUX2_StatusFlags,1669387169230.1433,
AUX2_BrakeLiftIn,1669387169230.1433,
AUX2_FC1_FBStatusWord,1669387169230.1433,
AUX2_FC1_FBActualSpeed,1669387169230.1433,
AUX2_FC1_FBMotorTorque,1669387169230.1433,
AUX2_FC1_FBMotorPower,1669387169230.1433,
AUX2_FC1_FBSpeedRef,1669387169230.1433,
AUX2_FC1_FBTorqueLimitGeneratoring,1669387169230.1433,
AUX2_FC1_FBTorqueLimitMotoring,1669387169230.1433,
AUX2_FC1_DriveRunning,1669387169230.1433,
AUX3_Enable,1669387169230.1433,
AUX3_SpeedCmdIn,1669387169230.1433,
AUX3_TorqueCmdIn,1669387169230.1433,
AUX3_StatusFlags,1669387169230.1433,
AUX3_BrakeLiftIn,1669387169230.1433,
AUX3_FC1_FBStatusWord,1669387169230.1433,
AUX3_FC1_FBActualSpeed,1669387169230.1433,
AUX3_FC1_FBMotorTorque,1669387169230.1433,
AUX3_FC1_FBMotorPower,1669387169230.1433,
AUX3_FC1_FBSpeedRef,1669387169230.1433,
AUX3_FC1_FBTorqueLimitGeneratoring,1669387169230.1433,
AUX3_FC1_FBTorqueLimitMotoring,1669387169230.1433,
AUX3_FC1_DriveRunning,1669387169230.1433,
AUX4_Enable,1669387169230.1433,
AUX4_SpeedCmdIn,1669387169230.1433,
AUX4_TorqueCmdIn,1669387169230.1433,
AUX4_StatusFlags,1669387169230.1433,
AUX4_BrakeLiftIn,1669387169230.1433,
AUX4_FC1_FBStatusWord,1669387169230.1433,
AUX4_FC1_FBActualSpeed,1669387169230.1433,
AUX4_FC1_FBMotorTorque,1669387169230.1433,
AUX4_FC1_FBMotorPower,1669387169230.1433,
AUX4_FC1_FBSpeedRef,1669387169230.1433,
AUX4_FC1_FBTorqueLimitGeneratoring,1669387169230.1433,
AUX4_FC1_FBTorqueLimitMotoring,1669387169230.1433,
AUX4_FC1_DriveRunning,1669387169230.1433,
AUX5_Enable,1669387169230.1433,
